Avi TimeStamp, Frame,Spot x,Spot y,Pupil x,Pupil y,Pupil r,Scene x,Scene y
 0:00:00.00, 5384, 397.08,155.36,398.90,171.87,56.13,327.66,479.75
 0:00:00.07, 5385, 395.96,157.09,-2000.00,-2000.00,-2000.00,324.14,474.10
 0:00:00.12, 5386, 394.69,157.50,394.71,174.42,55.73,320.53,482.12
 0:00:00.17, 5387, 393.35,157.08,391.92,174.63,55.74,315.55,483.08
 0:00:00.21, 5388, 392.01,156.73,389.26,173.96,55.73,310.26,482.96
 0:00:00.26, 5389, 391.44,156.08,387.49,171.23,56.80,306.20,487.97
 0:00:00.31, 5390, 390.50,156.00,386.31,174.31,55.90,303.68,482.82
 0:00:00.35, 5391, 388.15,159.26,382.52,180.34,55.51,298.27,469.96
 0:00:00.40, 5392, 386.24,165.39,379.18,190.30,55.05,293.41,455.85
 0:00:00.44, 5393, 386.34,168.09,379.27,193.48,55.29,293.70,454.50
 0:00:00.49, 5394, 388.96,170.91,384.77,198.44,55.09,303.97,449.45
 0:00:00.54, 5395, 389.40,171.37,385.52,197.93,54.93,306.12,451.77
 0:00:00.58, 5396, 389.85,170.03,385.99,195.68,54.80,306.52,456.66
 0:00:00.63, 5397, 390.20,168.61,386.88,193.72,54.81,307.77,458.84
 0:00:00.68, 5398, 391.47,167.10,388.67,189.82,55.15,310.72,464.55
 0:00:00.72, 5399, 393.02,164.47,390.79,187.19,54.69,313.14,468.32
 0:00:00.77, 5400, 394.35,161.25,393.21,182.65,54.75,316.42,471.80
 0:00:00.81, 5401, 395.87,156.86,395.88,176.33,54.91,320.92,478.62
 0:00:00.86, 5402, 397.20,153.03,397.90,171.43,55.03,323.92,482.37
 0:00:00.90, 5403, 396.78,152.05,397.37,170.07,55.11,322.68,481.19
 0:00:00.95, 5404, 396.37,151.42,-2000.00,-2000.00,-2000.00,321.35,483.22
 0:00:00.99, 5405, 394.57,149.90,-2000.00,-2000.00,-2000.00,315.46,488.14
 0:00:01.04, 5406, 394.87,151.18,394.75,168.15,55.03,319.08,483.68
 0:00:01.09, 5407, 395.05,152.86,395.42,169.48,55.57,321.66,482.79
 0:00:01.13, 5408, 394.87,156.68,395.21,176.22,54.64,321.94,474.63
 0:00:01.18, 5409, 393.99,159.57,393.54,179.52,54.71,319.13,471.64
 0:00:01.23, 5410, 393.07,161.39,392.12,180.00,55.01,316.73,475.16
 0:00:01.27, 5411, 392.60,162.47,391.40,183.44,54.72,315.97,472.39
 0:00:01.32, 5412, 392.51,163.08,391.71,183.34,54.63,317.08,471.92
 0:00:01.36, 5413, 392.74,162.83,391.44,182.70,54.71,316.61,474.42
 0:00:01.41, 5414, 396.86,162.48,399.33,184.72,54.83,329.96,470.00
 0:00:01.45, 5415, 398.17,162.30,401.37,186.82,55.18,333.80,462.49
 0:00:01.50, 5416, 398.17,162.30,401.04,187.15,55.13,332.56,459.18
 0:00:01.55, 5417, 397.36,164.31,399.93,190.12,55.34,330.54,454.61
